Date,Price
1394/12/16,78158.40
1394/12/17,78220
1394/12/18,78312.10
1394/12/21,79366.50
1394/12/23,80236.70
1394/12/24,80037.50
1394/12/25,80219.40
1395/01/06,81200.30
1395/01/07,81261
1395/01/08,80935.70
1395/01/09,80561.30
1395/01/10,81480.40
1395/01/13,81536.90
1395/01/14,80852.70
1395/01/15,80872.10
1395/01/16,80965.80
1395/01/17,80752.70
1395/01/20,80654
1395/01/21,80280.70
1395/01/22,80262.40
1395/01/23,80109.30
1395/01/24,79588.30
1395/01/27,77984.80
1395/01/28,77516.20
1395/01/29,78435.40
1395/01/30,78430.90
1395/01/31,78269
1395/02/03,78281.70
1395/02/04,78448.30
1395/02/05,78688.40
1395/02/06,78394.40
1395/02/07,78404.70
1395/02/10,78414.60
1395/02/11,78384.40
1395/02/12,78285.40
1395/02/13,78044.40
1395/02/14,78033.80
1395/02/17,77423.90
1395/02/18,77045.30
1395/02/19,77106
1395/02/20,76630.40
1395/02/21,75982.60
1395/02/24,76138.60
1395/02/25,75863.20
1395/02/26,75980.50
1395/02/27,76292.90
1395/02/28,76413.30
1395/02/31,76448.30
1395/03/02,76613.90
1395/03/03,76692.80
1395/03/04,76853
1395/03/07,76690.60
1395/03/08,76387
1395/03/09,76431.50
1395/03/10,76144.20
1395/03/11,76084.20
1395/03/15,76160.60
1395/03/16,76128.60
1395/03/17,75874.50
1395/03/18,75876.20
1395/03/21,74850.10
1395/03/22,74817.80
1395/03/23,74700.50
1395/03/24,73959.70
1395/03/25,73877.10
1395/03/28,73906.50
1395/03/29,73027.90
1395/03/30,72615
1395/03/31,72799.20
1395/04/01,73644.80
1395/04/04,73672
1395/04/05,73743.50
1395/04/07,74190.50
1395/04/08,73940.30
1395/04/11,73965.50
1395/04/12,74064
1395/04/13,73947.20
1395/04/14,74049.10
1395/04/18,73716.60
1395/04/19,73764.20
1395/04/20,73816.70
1395/04/21,73736
1395/04/22,73763
1395/04/25,73868
1395/04/26,74194.80
1395/04/27,74196.90
1395/04/28,74313.60
1395/04/29,74514.10
1395/05/01,74934.30
1395/05/02,75183.90
1395/05/03,75466.50
1395/05/04,75501
1395/05/05,76225.70
1395/05/09,76579.70
1395/05/10,76647.40
1395/05/11,77089.80
1395/05/12,77882.80
1395/05/15,78324.90
1395/05/16,78704.60
1395/05/17,78324.90
1395/05/18,78368.40
1395/05/19,78190.50
1395/05/22,78218.80
1395/05/23,78205.10
1395/05/24,77828.80
1395/05/25,77855.50
1395/05/26,77879
1395/05/29,77968.70
1395/05/30,78086.40
1395/05/31,78086.10
1395/06/01,77964
1395/06/02,78081.50
1395/06/05,77757.60
1395/06/06,77313.60
1395/06/07,77345.60
1395/06/08,77358.60
1395/06/09,77167.90
1395/06/12,76747
1395/06/13,76509.40
1395/06/14,76522.20
1395/06/15,76669.60
1395/06/16,76742.20
1395/06/19,76640.30
1395/06/20,76643.90
1395/06/22,76444.20
1395/06/23,76455.40
1395/06/26,76104.90
1395/06/27,76166.70
1395/06/28,76272.60
1395/06/30,76450.90
1395/07/02,76906.90
1395/07/03,77081.50
1395/07/04,77089.80
1395/07/05,77143.10
1395/07/06,77300.30
1395/07/09,77478.80
1395/07/10,77287.60
1395/07/11,77265.30
1395/07/12,77335.30
1395/07/13,77183
1395/07/16,77217
1395/07/17,77435.80
1395/07/18,77655.10
1395/07/23,77886.40
1395/07/24,77569.10
1395/07/25,77707.20
1395/07/26,77849.50
1395/07/27,78091.50
1395/07/30,78387.20
1395/08/01,78370.30
1395/08/02,78568.80
1395/08/03,78808.80
1395/08/04,79299.60
1395/08/07,80340.70
1395/08/08,80339.20
1395/08/09,80263.70
1395/08/10,79659.20
1395/08/11,79670.90
1395/08/14,79253.50
1395/08/15,79137.50
1395/08/16,79632.30
1395/08/17,79871.40
1395/08/18,78411.60
1395/08/21,79010.70
1395/08/22,79048.50
1395/08/23,79341.50
1395/08/24,79236.20
1395/08/25,79268.40
1395/08/28,79278.60
1395/08/30,79319
1395/09/01,79393.80
1395/09/02,79385.60
1395/09/05,79541.40
1395/09/06,79625.90
1395/09/08,80018.60
1395/09/12,80058.80
1395/09/13,80063.70
1395/09/14,80081.20
1395/09/15,80830.50
1395/09/16,81341.60
1395/09/19,81250.50
1395/09/20,80925.90
1395/09/21,80915.40
1395/09/22,80741.20
1395/09/23,80683.60
1395/09/27,80709
1395/09/28,80413.10
1395/09/29,80122.70
1395/09/30,80250
1395/10/03,80161.20
1395/10/04,79898.90
1395/10/05,79966.50
1395/10/06,79800.80
1395/10/07,79691.80
1395/10/10,79486.60
1395/10/11,78896
1395/10/12,78968.90
1395/10/13,78983.70
1395/10/14,78990.50
1395/10/17,78826.50
1395/10/18,78833.40
1395/10/19,78609.50
1395/10/21,78622
1395/10/24,78876.20
1395/10/25,79073.20
1395/10/26,79084.20
1395/10/27,79280.40
1395/10/28,79382.20
1395/11/01,79206.60
1395/11/02,79218
1395/11/03,79263.50
1395/11/04,78249.10
1395/11/05,78049
1395/11/08,77714.10
1395/11/09,77707.30
1395/11/10,77961.40
1395/11/11,77975.40
1395/11/12,77414.90
1395/11/15,76825.70
1395/11/16,76616
1395/11/17,76678.70
1395/11/18,76766
1395/11/19,76792.80
1395/11/22,76816.80
1395/11/23,76827.70
1395/11/24,76975.50
1395/11/25,77000.20
1395/11/26,77189.70
1395/11/29,77599.10
1395/11/30,77658.60
1395/12/01,77698.20
1395/12/02,77800.20
1395/12/03,77847.20
1395/12/06,77863.50
1395/12/07,77574.70
1395/12/08,77590.70
1395/12/09,77602.30
1395/12/10,77475.20
1395/12/13,77135.10
1395/12/14,76766.90
1395/12/15,76789.70
1395/12/16,76800.40
1395/12/17,76285.50
1395/12/20,76315.60
1395/12/21,76329
1395/12/22,76332
1395/12/23,76639
1395/12/24,76737.90
1395/12/27,77230
1396/01/04,77485.80
1396/01/05,77502.90
1396/01/06,77523.30
1396/01/07,77548.50
1396/01/08,77584.40
1396/01/13,77616.80
1396/01/14,77647.10
1396/01/15,77689.90
1396/01/18,77804.70
1396/01/19,77860.40
1396/01/20,78107.80
1396/01/22,78132.40
1396/01/25,78383.30
1396/01/26,78471.70
1396/01/27,78247.50
1396/01/28,78339.80
1396/01/29,78651.40
1396/02/01,79302.70
1396/02/02,79390.60
1396/02/03,79425.90
1396/02/05,79596.90
1396/02/08,79755.60
1396/02/09,79785
1396/02/10,79826.60
1396/02/11,79942.10
1396/02/12,79969.20
1396/02/15,79697.40
1396/02/16,79660.90
1396/02/17,79744.20
1396/02/18,79858.80
1396/02/19,80127.10
1396/02/22,80142
1396/02/23,79963
1396/02/24,79957.50
1396/02/25,80129.30
1396/02/26,80344.20
1396/02/29,81077.60
1396/02/30,81194
1396/02/31,81124.40
1396/03/01,81124.40
1396/03/02,81146.20
1396/03/05,80921.20
1396/03/06,80713.20
1396/03/07,80607.90
1396/03/08,80511.50
1396/03/09,80513.30
1396/03/12,80288.90
1396/03/15,80293.50
1396/03/16,79758.50
1396/03/19,79855.70
1396/03/20,79870.70
1396/03/21,79564.10
1396/03/22,79426.90
1396/03/23,79465.70
1396/03/26,79285
1396/03/27,78990.40
1396/03/28,78859.20
1396/03/29,78867.50
1396/03/30,78736.20
1396/04/02,78652.70
1396/04/03,78665.50
1396/04/06,78704.50
1396/04/09,78799.70
1396/04/10,78765.30
1396/04/11,78659.20
1396/04/12,78632.50
1396/04/13,78700.20
1396/04/16,78881.60
1396/04/17,78985.40
1396/04/18,79377
1396/04/19,79490.40
1396/04/20,79509.60
1396/04/23,79658.90
1396/04/24,79620.80
1396/04/25,79692.90
1396/04/26,79735.70
1396/04/27,80162.50
1396/04/30,80670.80
1396/04/31,80863
1396/05/01,80933.90
1396/05/02,81181.70
1396/05/03,81509.30
1396/05/06,81420.90
1396/05/07,81491.40
1396/05/08,81533.50
1396/05/09,81415.90
1396/05/10,81265.90
1396/05/14,81384.10
1396/05/15,81285.70
1396/05/16,81313.90
1396/05/17,81579.30
1396/05/20,81763.10
1396/05/21,81661.50
1396/05/22,81659.30
1396/05/23,81696.30
1396/05/24,81741.90
1396/05/27,81954.90
1396/05/28,82016.20
1396/05/29,82075
1396/05/30,82372.40
1396/05/31,82541.80
1396/06/03,82897.10
1396/06/04,82885
1396/06/05,83012.10
1396/06/06,83252
1396/06/07,83272.90
1396/06/10,83428.20
1396/06/11,83345.20
1396/06/12,83452.10
1396/06/13,83733.50
1396/06/14,83675.30
1396/06/18,83255.70
1396/06/19,83369.10
1396/06/20,83469.20
1396/06/21,83523.80
1396/06/24,83683.20
1396/06/25,83916.60
1396/06/26,84414.50
1396/06/27,85343.90
1396/06/28,85831.80
1396/06/31,85798.40
1396/07/01,85588.80
1396/07/02,85516.90
1396/07/03,85628.80
1396/07/04,85819
1396/07/09,85514.90
1396/07/10,85355
1396/07/11,85429.50
1396/07/14,85069.50
1396/07/15,84564.90
1396/07/16,84611.60
1396/07/17,84734.40
1396/07/18,84744.10
1396/07/21,85263.60
1396/07/22,85394.90
1396/07/23,85590.70
1396/07/24,85660
1396/07/25,85768
1396/07/28,86430.50
1396/07/29,86480.20
1396/07/30,86346.20
1396/08/01,86529.20
1396/08/02,86636.80
1396/08/05,86935.40
1396/08/06,87416.60
1396/08/07,87477.20
1396/08/08,87649.90
1396/08/09,87844.90
1396/08/12,87868.60
1396/08/13,87905.10
1396/08/14,87843.70
1396/08/15,87883.10
1396/08/16,87897.40
1396/08/19,87795.20
1396/08/20,87744.70
1396/08/21,87832.50
1396/08/22,87949.80
1396/08/23,88005.90
1396/08/26,88202.30
1396/08/28,88261.20
1396/08/29,88774.60
1396/08/30,89339.10
1396/09/03,90469.50
1396/09/04,90655.50
1396/09/06,91255.20
1396/09/07,91152.20
1396/09/10,91296.70
1396/09/11,90951.80
1396/09/12,90936.60
1396/09/13,91092.20
1396/09/17,91160.30
1396/09/18,91198.90
1396/09/19,91552.40
1396/09/20,92628.90
1396/09/21,93283.70
1396/09/24,94606.40
1396/09/25,95600.80
1396/09/26,95477.40
1396/09/27,95590.60
1396/09/28,95508.60
1396/10/01,96816
1396/10/02,97529.40
1396/10/03,98358.40
1396/10/04,98152.80
1396/10/05,97899.20
1396/10/08,97211.40
1396/10/09,95561.60
1396/10/10,96208
